Item,Responses,P Value,Correlation,Discrimination,Duration
10A_v1,365,0.342465758,0.154909914,0.163265306,10.05339622
10B_v1,400,0.347499996,0.07041641,0.064814815,13.07452393
10C_v1,394,0.426395953,0.173816138,0.216981132,10.87910843
11A_v1,402,0.462686568,0.323938506,0.342592593,14.8605957
11B_v1,391,0.445012778,0.284546673,0.371428571,15.87281895
11C_v1,367,0.531335175,0.316477644,0.353535354,15.84449291
12A_v1,0,0,0,0,0
12A_v2,394,0.482233495,0.356201689,0.462264151,28.32933044
12B_v1,401,0.341645896,0.087148438,0.046296296,27.4979744
12C_v1,0,0,0,0,0
12C_v2,368,0.426630437,0.222592911,0.232323232,34.05788803
13A_v1,0,0,0,0,0
13A_v2,367,0.506811976,0.118334306,0.151515152,45.35326767
13B_v1,0,0,0,0,0
13B_v2,393,0.315521628,0.141782542,0.160377358,29.53617668
13C_v1,401,0.453865349,0.255465996,0.287037037,42.47468567
14A_v1,368,0.657608688,0.170824252,0.171717172,17.00796127
14B_v1,404,0.25,0.109376747,0.091743119,15.25942993
14C_v1,394,0.332487315,0.103194161,0.103773585,17.79522514
15A_v1,391,0.145780057,0.169193741,0.171428571,36.47935104
15B_v1,367,0.395095378,0.098837544,0.111111111,25.33881378
15C_v1,403,0.526054561,0.181282837,0.194444444,33.38216782
16A_v1,400,0.242500007,-0.069737185,-0.111111111,12.89073181
16B_v1,393,0.300254464,0.146517032,0.179245283,15.92062664
16C_v1,368,0.361413032,0.082246915,0.101010101,14.02545166
17A_v1,400,0.247500002,0.229618984,0.259259259,19.77836227
17B_v1,368,0.388586968,0.235693956,0.252525253,18.97318268
17C_v1,393,0.493638664,0.185178319,0.216981132,17.55126953
18A_v1,0,0,0,0,0
18A_v2,393,0.669211209,0.293289562,0.320754717,23.5750618
18B_v1,0,0,0,0,0
18B_v2,0,0,0,0,0
18B_v3,365,0.709589064,0.26002465,0.244897959,35.85068893
18C_v1,399,0.75939852,0.163684364,0.186915888,22.32531738
19A_v1,394,0.565989852,0.219533591,0.301886792,22.96162987
19B_v1,401,0.418952614,0.165207374,0.157407407,17.80100632
19C_v1,367,0.365122616,0.19910258,0.202020202,17.80137062
1A_v1,400,0.837499976,0.398233616,0.361111111,19.63469124
1B_v1,0,0,0,0,0
1B_v2,0,0,0,0,0
1B_v3,366,0.830601096,0.257522853,0.234693878,19.74381828
1C_v1,0,0,0,0,0
1C_v2,0,0,0,0,0
1C_v3,392,0.897959173,0.308868151,0.238095238,15.98062706
20A_v1,399,0.340852141,0.011785187,-0.074766355,31.0839119
20B_v1,0,0,0,0,0
20B_v2,369,0.384823859,0.15566107,0.151515152,45.8433876
20C_v1,0,0,0,0,0
20C_v2,397,0.382871538,0.201242943,0.252336449,31.20257378
21A_v1,366,0.554644823,0.413513703,0.510204082,10.51286697
21B_v1,392,0.558673441,0.350825284,0.495238095,16.0746727
21C_v1,399,0.666666687,0.3874527,0.411214953,14.93348598
2A_v1,0,0,0,0,0
2A_v2,367,0.476839244,0.185169702,0.202020202,18.95350075
2B_v1,0,0,0,0,0
2B_v2,400,0.482499987,0.303584744,0.351851852,14.79139328
2C_v1,0,0,0,0,0
2C_v2,396,0.606060624,0.311341185,0.367924528,16.90804482
3A_v1,0,0,0,0,0
3A_v2,401,0.685785532,0.273181746,0.259259259,11.32370281
3B_v1,0,0,0,0,0
3B_v2,392,0.71938777,0.272962089,0.342857143,15.931077
3C_v1,0,0,0,0,0
3C_v2,0,0,0,0,0
3C_v3,0,0,0,0,0
3C_v4,0,0,0,0,0
3C_v5,367,0.798365116,0.302182206,0.272727273,13.19375706
4A_v1,0,0,0,0,0
4A_v2,399,0.877192974,0.202746351,0.158878505,8.170593262
4B_v1,394,0.708121836,0.293417073,0.386792453,12.58580112
4C_v1,0,0,0,0,0
4C_v2,365,0.860273957,0.286534031,0.214285714,9.979280472
5A_v1,393,0.407124668,0.236631412,0.283018868,16.16050339
5B_v1,0,0,0,0,0
5B_v2,368,0.470108688,0.174669072,0.252525253,17.47798157
5C_v1,0,0,0,0,0
5C_v2,400,0.689999998,0.289006091,0.314814815,14.70800018
6A_v1,392,0.359693885,0.321625078,0.380952381,30.14955139
6B_v1,0,0,0,0,0
6B_v2,400,0.342500001,0.248313559,0.231481481,21.95794106
6C_v1,0,0,0,0,0
6C_v2,0,0,0,0,0
6C_v3,367,0.435967296,0.354671761,0.383838384,29.64557838
7A_v1,391,0.790281355,0.270390923,0.276190476,28.9895649
7B_v1,0,0,0,0,0
7B_v2,368,0.472826093,0.206533234,0.262626263,27.03926086
7C_v1,0,0,0,0,0
7C_v2,402,0.728855729,0.277312224,0.259259259,31.03554726
8A_v1,367,0.092643052,-0.09139143,-0.101010101,13.81848717
8B_v1,400,0.1875,0.031265581,0.027777778,15.53277493
8C_v1,0,0,0,0,0
8C_v2,393,0.325699747,0.110727324,0.103773585,12.86211395
9A_v1,368,0.423913032,0.051280193,0.060606061,18.31492424
9B_v1,392,0.18622449,-0.026287119,-0.00952381,18.51362991
9C_v1,0,0,0,0,0
9C_v2,399,0.285714298,-0.001538731,-0.056074766,20.13193893
Appearances_VeryDifficult_Ordering_v1,0,,,,
BuildList_EventOrder_Medium_v1,0,,,,
CGOT0003_v1,7,0,0,0,7.495107174
CGOT0003_v2,5,0.800000012,0,0,6.420546055
CGOT0003_v3,2,1,0,0,3564.298584
COTSItem_GameofThronesAttempt2_v1,0,0,0,0,0
COTSItem_GameofThronesAttempt2_v2,2,1,0,0,3.840655804
COTSItem_GameofThronesAttempt2_v3,12,0.833333313,0.674199862,0.333333333,5.677889824
CharactersEpisodes_Difficult_Deduction_v1,0,,,,
CharactersOrder_VeryDifficult_Deduction_v1,0,,,,
EventOrder_Easy_Deduction_MC_v1,0,,,,
EventOrder_Easy_v1,0,,,,
SupportingCharacters_Easy_Analyze_v1,0,,,,
SurveyA_v1,0,0,0,0,0
SurveyA_v2,1174,0,0,0,68.11842346
SurveyB_v1,0,0,0,0,0
SurveyB_v2,1174,0.432708681,0.038411875,0.069620253,68.07885742
SurveyC_v1,0,0,0,0,0
SurveyC_v2,1174,0.227427602,-0.194457819,-0.202531646,68.00462341
SurveyD_v1,0,0,0,0,0
SurveyD_v2,1174,0.152470186,0.054535874,0.053797468,67.90657043
SurveyE_v1,0,0,0,0,0
SurveyE_v2,1174,0.656729102,0.087040123,0.079113924,67.84770203
SurveyF_v1,0,0,0,0,0
SurveyF_v2,1174,0.062180579,-0.041497729,-0.028481013,67.75595093
SurveyG_v1,0,0,0,0,0
SurveyG_v2,1174,0.14480409,-0.265197679,-0.234177215,67.71707153
SurveyH_v1,0,0,0,0,0
SurveyH_v2,1174,0.902044296,-0.118107544,-0.075949367,67.65104675
SurveyI_v1,0,0,0,0,0
SurveyI_v2,1174,0.014480409,-0.040627739,-0.012658228,67.60510254
